ID,SMILES,act_mean,Type
CHEMBL2392366,COc1ccc(-c2ccnc(NCc3ccc(Cl)c(Cl)c3)n2)cc1OC,26020,0
CHEMBL4098237,CC[C@@H](CO)Nc1ccc2ncc(-c3cccc(C(=O)N[C@H](CC)CO)c3)n2n1,7900,0
CHEMBL4283474,O=C(Nc1cncc(-c2cc(-c3cccnc3)cs2)c1)c1c(F)cc(F)cc1F,23.5,1
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,11.96,1
CHEMBL4098107,COc1ccc2ncc(-c3cccc(C(F)(F)F)c3)n2n1,1300,0
CHEMBL567331,c1csc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)c1,44.5,1
CHEMBL213423,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,100000000,0
CHEMBL4077010,Cn1cc(-c2ccncc2)c2ccncc21,89,1
CHEMBL2234211,O=c1[nH]cnc2c(-c3ccc(Br)cc3)n[nH]c12,100000000,0
CHEMBL2386748,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4F)c3c2s1,0.94,1
CHEMBL4437998,COC(=O)CCCCn1c2cc(OC)ccc2c2ccnc(C)c21,97,1
CHEMBL2314475,CC(C)[C@@H](CO)Nc1nc(Nc2ccccn2)c2ncn(C(C)C)c2n1,1200,0
